"state_name","state_fips_code","confirmed_cases","confirmed_increase","confirmed_increase_14days","totalTestResults","totalTestResultsIncrease","positive","positiveIncrease","inIcuCurrently","hospitalizedCurrently","adult_icu_beds_capacity","inpatient_beds_used","inpatient_beds_capacity"
"Missouri","29",835783,9956,37119,7968287,9940,868674,648,487,1733,1856,14352,17130
"Delaware","10",130434,560,6476,2480954,695,146045,84,42,247,199,2722,3494
"Vermont","50",32610,242,2875,2117737,2144,45715,74,14,44,99,933,1230
"New Hampshire","33",116710,0,5599,2408211,294,95304,13,36,147,221,2317,3011
"Connecticut","09",387733,470,8800,10580659,11860,510278,403,84,331,1025,6958,8437
"Hawaii","15",74998,392,6911,2291115,7282,82895,316,68,290,225,2005,2622
"Massachusetts","25",802687,1778,25665,27420010,10952,881517,217,168,528,1318,16239,18457
"Rhode Island","44",170293,0,4444,4328971,14712,196412,198,15,116,158,2164,2448
"Iowa","19",441184,1,24032,4197690,6710,439595,893,168,699,625,5541,7892
"Ohio","39",1380370,7095,94613,15481833,36297,1184399,1244,1089,4123,3991,24209,31490
"Utah","49",500241,1121,20177,5014056,7035,582957,666,215,572,618,4154,6270
"Alaska","02",107042,1932,12620,3056001,283,146174,31,47,223,129,1196,1580
"Florida","12",3626148,94683,216983,39136061,2587,4147771,243,1934,7458,6675,48337,59384
"Georgia","13",1520586,1075,68855,10885658,2023,1161123,245,1311,4584,2716,19658,22736
"Arkansas","05",491138,1282,19002,3491098,2226,304284,245,285,822,848,6404,8593
"Illinois","17",1616951,3089,47745,25389986,66628,1553698,1293,444,1973,3289,23430,30933
"Maryland","24",525126,1138,16885,13495785,1665,1062757,309,212,954,1247,9652,11240
"Michigan","26",1128995,5212,42614,16220865,33166,1210382,2700,416,1604,2483,18780,23115
"Nebraska","31",261763,0,9604,2326121,3147,288173,412,124,420,472,3187,4261
"Oklahoma","40",603161,0,25849,2913609,1728,587564,223,340,1223,989,7661,10143
"Louisiana","22",734520,998,21946,8143806,5511,687382,203,355,1024,1633,10280,13019
"Minnesota","27",697300,2887,30711,14848518,6496,1016895,458,226,849,936,8415,10252
"Tennessee","47",1180521,4121,81403,8360892,3458,993023,625,906,3033,2468,13804,19610
"New Jersey","34",1143848,2229,30683,17230081,8996,1130620,529,223,1164,2934,17482,24434
"Puerto Rico","72",213365,0,3854,1542713,4214,112737,251,74,227,648,5828,9352
"North Dakota","38",128585,640,6704,1803277,1172,109756,125,40,221,201,1874,2318
"Maine","23",86584,712,6655,2666354,7701,74327,181,76,231,335,2376,3258
"Oregon","41",320991,2076,24166,4866005,8277,286961,744,247,1041,813,5527,7104
"Arizona","04",1078874,2998,36394,10040455,6844,1099730,761,466,1840,2188,13052,17169
"District of Columbia","11",60205,187,3239,2574139,10747,84826,203,23,157,350,2862,3515
"Virgin Islands","78",6557,0,375,86915,100,7369,4,2,6,20,107,168
"Idaho","16",249760,1608,17067,2068039,4921,308757,861,182,689,323,2649,3914
"Texas","48",4008800,26154,205895,34293889,3202,4195575,494,3330,11637,7630,55670,68456
"Kansas","20",405489,2463,17291,3819701,6866,371963,627,205,676,813,5582,8471
"Nevada","32",416496,1072,14595,4131798,2948,534439,443,209,950,816,6762,8470
"Alabama","01",784484,2569,43166,5674700,1,736225,0,595,1949,1590,11990,15166
"Indiana","18",949916,1817,46697,10230861,122,1013571,31,671,2297,2286,13382,19265
"Montana","30",146122,977,12283,1471506,2768,171201,554,108,448,240,2215,3014
"Wyoming","56",87866,515,7223,986008,1174,69157,154,60,227,137,935,1743
"Colorado","08",663839,2809,26100,9878007,20482,652869,1252,350,1035,1335,8568,11944
"Kentucky","21",678408,3404,54604,5944644,15861,670761,1723,620,2340,1513,9361,11971
"New York","36",2398014,8279,74840,55705414,115800,2660292,3002,519,2366,4167,34299,41874
"Virginia","51",850191,3212,48364,9938366,2958,1100773,250,489,2032,1959,14159,18291
"Wisconsin","55",793981,3194,39817,11249451,28655,853894,2395,343,1237,1540,9741,13411
"California","06",4691974,4796,125228,76897113,98244,4606017,4043,1631,6216,7232,52283,65357
"New Mexico","35",248519,444,8633,3544001,2825,300014,269,131,358,467,3140,4325
"Washington","53",642288,2194,42317,8043466,309,478321,281,393,1644,1266,10157,12968
"Mississippi","28",482902,1505,22590,1819484,2519,227834,224,271,852,853,6135,8836
"Pennsylvania","42",1402826,5071,64513,17736727,22716,1407680,2193,679,3018,3714,26122,30632
"South Dakota","46",142800,470,6028,761291,354,88653,57,64,190,247,1843,2857
"West Virginia","54",231668,2685,25885,3410727,6231,258913,912,286,1073,685,4952,6040
"North Carolina","37",1370697,5269,89251,15019331,35922,1339190,3427,930,3299,2462,19310,23949
"South Carolina","45",841600,3521,57548,8542665,1993,874869,363,542,2247,1409,9869,11748