"state_fips_code","pop2020"
"01",4921532
"02",731158
"04",7421401
"05",3030522
"06",39368078
"08",5807719
"09",3557006
"10",986809
"11",712816
"12",21733312
"13",10710017
"15",1407006
"16",1826913
"17",12587530
"18",6754953
"19",3163561
"20",2913805
"21",4477251
"22",4645318
"23",1350141
"24",6055802
"25",6893574
"26",9966555
"27",5657342
"28",2966786
"29",6151548
"30",1080577
"31",1937552
"32",3138259
"33",1366275
"34",8882371
"35",2106319
"36",19336776
"37",10600823
"38",765309
"39",11693217
"40",3980783
"41",4241507
"42",12783254
"44",1057125
"45",5218040
"46",892717
"47",6886834
"48",29360759
"49",3249879
"50",623347
"51",8590563
"53",7693612
"54",1784787
"55",5832655
"56",582328